### Donsken_stat_n40_M10000_mean5_S050
i t1 x1 t2 x2 t3 x3
413 0.1 50.2 0.5 51.9 1 54.95
414 0.1 50.4 0.5 52.9 1 55.8
415 0.1 50.65 0.5 52.25 1 55.55
416 0.1 50.65 0.5 52.1 1 54.5
417 0.1 50.75 0.5 52.55 1 55.6
418 0.1 50.6 0.5 52.4 1 54.55
419 0.1 50.75 0.5 52.9 1 54.45
420 0.1 49.75 0.5 51.65 1 54.25
421 0.1 50.3 0.5 51.3 1 53.8
422 0.1 50.35 0.5 52.45 1 54.6
423 0.1 50.5 0.5 50.95 1 53.4
424 0.1 50.85 0.5 53.45 1 56.9
425 0.1 50.55 0.5 53.25 1 56.05
426 0.1 50.55 0.5 52.05 1 54.6
427 0.1 50.85 0.5 52.45 1 56.1
428 0.1 50.7 0.5 52.75 1 55.8
429 0.1 50.8 0.5 52.05 1 54.05
430 0.1 50.2 0.5 51.95 1 53.4
431 0.1 50.75 0.5 52.9 1 55.05
432 0.1 50.85 0.5 52.5 1 55
433 0.1 51.3 0.5 53.25 1 55.4
434 0.1 50.3 0.5 52.25 1 55.65
435 0.1 50.9 0.5 52.05 1 55
436 0.1 50.15 0.5 50.75 1 53.15
437 0.1 50.45 0.5 52.7 1 53.7
438 0.1 50.3 0.5 51.8 1 53.25
439 0.1 51 0.5 53 1 56.7
440 0.1 50.55 0.5 53.15 1 56
441 0.1 50.2 0.5 52.7 1 55.5
442 0.1 50.6 0.5 52.75 1 55.75
443 0.1 50.8 0.5 52.35 1 54.65
444 0.1 50.55 0.5 51.85 1 54.45
445 0.1 50 0.5 52.7 1 54.55
446 0.1 50.4 0.5 52.4 1 56.15
447 0.1 50 0.5 52.6 1 55
448 0.1 51.2 0.5 53.1 1 55.6
449 0.1 50.75 0.5 52.2 1 54.25
450 0.1 50.45 0.5 52.6 1 53.85
451 0.1 50.75 0.5 52.8 1 55.35
452 0.1 50.2 0.5 52.8 1 56.1
453 0.1 50.15 0.5 52.85 1 55.05
454 0.1 50.65 0.5 52.1 1 56.35
455 0.1 50 0.5 52.15 1 55.6
456 0.1 50.45 0.5 52.5 1 54.45
457 0.1 50.45 0.5 52.65 1 53.45
458 0.1 50.5 0.5 52.4 1 55.35
459 0.1 50.3 0.5 52.25 1 55
460 0.1 50.1 0.5 52.45 1 53.75
461 0.1 50.3 0.5 53 1 55.2
462 0.1 50.45 0.5 51.6 1 54.35
463 0.1 49.85 0.5 52.05 1 54.7
464 0.1 50.9 0.5 52.45 1 53.85
465 0.1 50.5 0.5 52.35 1 54.2
466 0.1 50.5 0.5 52.15 1 55.2
467 0.1 50.75 0.5 52.6 1 54.4
468 0.1 50.35 0.5 51.65 1 51.95
469 0.1 50.15 0.5 52.6 1 55.1
470 0.1 51 0.5 54 1 57.3
471 0.1 50.25 0.5 52.05 1 55.85
472 0.1 50.2 0.5 52.2 1 55
473 0.1 50.45 0.5 53 1 55.15
474 0.1 50.2 0.5 51.45 1 54.65
475 0.1 50.75 0.5 52.6 1 54.9
476 0.1 50.95 0.5 52 1 54.2
477 0.1 50.45 0.5 52.15 1 55.45
478 0.1 50.65 0.5 52.6 1 55.55
